$BUILT 2014-03-02 18:28:11
$AUTHOR Amanda
$GERMAN Frendischsmesen (2p)
$ENGLISH Prolix (2p)

#SIZE_X 1280
#SIZE_Y 880
#TORUS_X 1
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 105
#INITIAL 120
#REQUIRED 80
#SPAWN_INTERVAL 30
#SPAWN_INTERVAL_FAST 30

#WALKER 100
#CLIMBER 20
#FLOATER 30
#JUMPER 40
#BLOCKER 15
#BUILDER -1
#PLATFORMER 90
#BASHER 40
#MINER 40
#DIGGER 40
#EXPLODER2 -1
#BATTER 40

:geoo/sandstone/Hatch.H: 176 640
:geoo/sandstone/Hatch.H: 816 704

:geoo/sandstone/Goal.G: 1080 32
:geoo/sandstone/Goal.G: 440 32

:geoo/sandstone/chopper.T: 0 720

:simon/water_thin.W: 1248 848
:simon/water_thin.W: 16 848
:geoo/sandstone/brazier.F: 164 376
:geoo/sandstone/torch.F: 1256 672
:geoo/sandstone/torch.F: 24 672
:geoo/sandstone/torch.F: 0 616
:simon/water_thin.W: 592 848
:simon/water_thin.W: 640 848

:geoo/sandstone/slopes/32x32rt: 608 640
:geoo/sandstone/slopes/32x32lb: 608 640
:geoo/sandstone/ebony/v8c: 752 792
:geoo/sandstone/ebony/h8a: 736 784
:geoo/sandstone/ebony/h8r: 1016 616
:geoo/sandstone/64x32: 64 816
:geoo/sandstone/64x32: 128 816
:geoo/steel/dark_64x32o.S: 64 848
:geoo/steel/dark_64x32o.S: 128 848
:geoo/steel/dark_64x32o.S: 192 848
:geoo/steel/dark_64x32o.S: 256 848
:geoo/steel/dark_64x32o.S: 320 848
:geoo/sandstone/64x32: 192 816
:geoo/sandstone/64x32: 256 816
:geoo/sandstone/ebony/h8r: 296 808
:geoo/sandstone/ebony/h8r: 304 800
:geoo/sandstone/ebony/h8r: 312 792
:geoo/sandstone/ebony/h8r: 320 784
:geoo/sandstone/ebony/h8r: 328 776
:geoo/sandstone/ebony/h8r: 336 768
:geoo/sandstone/ebony/h8r: 344 760
:geoo/sandstone/64x32: 192 720
:geoo/sandstone/64x32: 192 752
:geoo/sandstone/pillar_bottom_ext: 64 736
:geoo/sandstone/64x64: 64 752
:geoo/sandstone/pillar_32: 80 672
:geoo/sandstone/pillar_top_jaggedl: 80 640
:geoo/sandstone/ebony/h8a: 256 752
:geoo/sandstone/ebony/h8r: 256 776
:geoo/sandstone/ebony/h8r: 264 768
