$BUILT 2012-05-23 20:41:20
$AUTHOR Clam Spammer
$GERMAN 
$ENGLISH Flotilla

#SIZE_X 1024
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 15
#REQUIRED 12
#SPAWN_INTERVAL 11
#SPAWN_INTERVAL_FAST 11

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#FLOATER 15
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/construction/Hatch.H: 32 64

:geoo/construction/Goal2.G: 960 240

:geoo/construction/squisher.T: 864 240
:geoo/construction/squisher.T: 240 128
:geoo/construction/squisher.T: 32 128
:geoo/construction/squisher.T: 448 128
:geoo/construction/squisher.T: 656 128

:geoo/construction/steam_up.T: 96 272
:geoo/construction/steam_up.T: 304 272
:geoo/construction/steam_up.T: 512 272

:matt/beach/decor/umbrella_yellow: 810 45 frr
:geoo/construction/pillar_top: 864 128
:geoo/construction/pillar_32: 864 144
:geoo/construction/pillar_32: 864 176
:geoo/construction/pillar_32: 864 208
:geoo/construction/wall/big_128x128: 0 304
:geoo/construction/wall/big_128x128: 128 304
:geoo/construction/wall/big_128x128: 256 304
:geoo/construction/wall/big_128x128: 384 304
:geoo/construction/wall/big_128x128: 512 304
:geoo/construction/pillar_top: 240 128
:geoo/construction/pillar_32: 240 144
:geoo/construction/pillar_32: 240 176
:geoo/construction/pillar_32: 240 208
:geoo/construction/pillar_32: 240 240
:geoo/construction/pillar_bottom: 240 288
:geoo/construction/pillar_32: 240 256
:geoo/construction/pillar_32: 240 132 d
:geoo/construction/pillar_32: 240 152
:geoo/construction/pillar_top: 32 128
:geoo/construction/pillar_32: 32 144
:geoo/construction/pillar_32: 32 176
:geoo/construction/pillar_32: 32 208
:geoo/construction/pillar_32: 32 240
:geoo/construction/pillar_bottom: 32 288
:geoo/construction/pillar_32: 32 256
:geoo/construction/pillar_32: 32 132 d
:geoo/construction/pillar_32: 32 152
:geoo/construction/wall/big_128x128: 640 304
:geoo/construction/pillar_bottom: 208 288
:geoo/construction/pillar_bottom: 272 288
:geoo/construction/pillar_32: 208 256
:geoo/construction/pillar_32: 272 256
:geoo/construction/pillar_32: 272 224
:geoo/construction/pillar_32: 208 224
:geoo/construction/pillar_32: 272 192
:geoo/construction/pillar_32: 208 192
:geoo/construction/pillar_32: 272 160
:geoo/construction/pillar_32: 208 160
:geoo/construction/pillar_32: 272 144
:geoo/construction/pillar_32: 208 144
:geoo/construction/pillar_top: 208 128
:geoo/construction/pillar_top: 272 128
:geoo/construction/pillar_bottom: 64 288
:geoo/construction/pillar_32: 64 256
:geoo/construction/pillar_32: 64 224
:geoo/construction/pillar_32: 64 192
:geoo/construction/pillar_32: 64 160
:geoo/construction/pillar_32: 64 144
:geoo/construction/pillar_top: 64 128
:geoo/construction/pillar_bottom: 0 288
:geoo/construction/pillar_32: 0 256
:geoo/construction/pillar_32: 0 224
:geoo/construction/pillar_32: 0 192
:geoo/construction/pillar_32: 0 160
:geoo/construction/pillar_32: 0 144
:geoo/construction/pillar_top: 0 128
:geoo/construction/pillar_top: 448 128
:geoo/construction/pillar_32: 448 144
:geoo/construction/pillar_32: 448 176
:geoo/construction/pillar_32: 448 208
:geoo/construction/pillar_32: 448 240
:geoo/construction/pillar_bottom: 448 288
:geoo/construction/pillar_32: 448 256
:geoo/construction/pillar_32: 448 132 d
:geoo/construction/pillar_32: 448 152
:geoo/construction/pillar_bottom: 416 288
:geoo/construction/pillar_bottom: 480 288
:geoo/construction/pillar_32: 416 256
:geoo/construction/pillar_32: 480 256
:geoo/construction/pillar_32: 480 224
:geoo/construction/pillar_32: 416 224
:geoo/construction/pillar_32: 480 192
:geoo/construction/pillar_32: 416 192
